Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.350000,5.450000,5.025000,5.025000,3.871671,984000
2000-01-04,4.875000,4.875000,4.795000,4.800000,3.698312,1396000
2000-01-05,4.700000,4.875000,4.650000,4.875000,3.756098,1272000
2000-01-06,4.850000,4.850000,4.675000,4.680000,3.605854,1744000
2000-01-07,4.700000,4.835000,4.690000,4.750000,3.659789,8824000
2000-01-10,4.875000,4.975000,4.800000,4.875000,3.756098,1560000
2000-01-11,4.850000,4.880000,4.625000,4.645000,3.578888,5384000
2000-01-12,4.600000,4.655000,4.600000,4.625000,3.563478,4588000
2000-01-13,4.650000,4.775000,4.650000,4.745000,3.655936,2332000
2000-01-14,4.775000,4.775000,4.650000,4.650000,3.582740,1528000
2000-01-17,4.650000,4.725000,4.650000,4.690000,3.613560,304000
2000-01-18,4.675000,4.675000,4.500000,4.500000,3.467168,5944000
2000-01-19,4.525000,4.550000,4.375000,4.400000,3.390120,4468000
2000-01-20,4.425000,4.430000,4.320000,4.375000,3.370858,10044000
2000-01-21,4.375000,4.375000,4.240000,4.250000,3.274548,2992000
2000-01-24,4.300000,4.370000,4.175000,4.245000,3.270695,1360000
2000-01-25,4.250000,4.250000,4.200000,4.245000,3.270695,2940000
2000-01-26,4.250000,4.325000,4.245000,4.320000,3.328481,7020000
2000-01-27,4.310000,4.375000,4.250000,4.250000,3.274548,6368000
2000-01-28,4.250000,4.250000,4.150000,4.225000,3.255285,4240000
2000-01-31,4.175000,4.175000,3.995000,4.030000,3.105042,2976000
2000-02-01,4.025000,4.100000,3.915000,3.920000,3.020289,4540000
2000-02-02,3.915000,4.025000,3.800000,3.950000,3.043403,9968000
2000-02-03,4.025000,4.125000,3.945000,4.000000,3.081927,5388000
2000-02-04,4.010000,4.080000,3.875000,3.875000,2.985617,3804000
2000-02-07,3.875000,3.925000,3.730000,3.750000,2.889307,5348000
2000-02-08,3.850000,3.995000,3.765000,3.975000,3.062665,7968000
2000-02-09,3.945000,4.125000,3.945000,4.090000,3.151270,9076000
2000-02-10,4.090000,4.140000,4.000000,4.000000,3.081927,5960000
2000-02-11,4.000000,4.000000,3.850000,3.870000,2.981764,8332000
2000-02-14,3.865000,3.900000,3.750000,3.750000,2.889307,5472000
2000-02-15,3.750000,3.895000,3.750000,3.800000,2.927831,5976000
2000-02-16,3.825000,3.850000,3.750000,3.790000,2.920125,4312000
2000-02-17,3.750000,3.825000,3.700000,3.740000,2.881601,8492000
2000-02-18,3.725000,3.740000,3.700000,3.715000,2.862339,3908000
2000-02-21,3.725000,3.750000,3.725000,3.725000,2.870044,1936000
2000-02-22,3.725000,3.750000,3.625000,3.695000,2.846930,3600000
2000-02-23,3.695000,3.935000,3.695000,3.920000,3.020289,5064000
2000-02-24,3.925000,4.000000,3.875000,3.965000,3.054960,10260000
2000-02-25,3.950000,3.950000,3.750000,3.750000,2.889307,6088000
2000-02-28,3.750000,3.850000,3.750000,3.840000,2.958650,280000
2000-02-29,3.875000,3.900000,3.785000,3.865000,2.977912,1184000
2000-03-01,3.990000,3.990000,3.830000,3.875000,2.985617,1688000
2000-03-02,3.875000,3.945000,3.825000,3.850000,2.966355,14676000
2000-03-03,3.900000,4.075000,3.900000,4.020000,3.097337,19996000
2000-03-06,4.025000,4.100000,3.975000,3.975000,3.062665,5892000
2000-03-07,3.990000,4.150000,3.850000,3.900000,3.004879,10968000
2000-03-08,3.935000,3.980000,3.875000,3.875000,2.985617,8784000
2000-03-09,3.965000,4.000000,3.775000,3.775000,2.908568,7348000
2000-03-10,3.795000,3.820000,3.690000,3.750000,2.889307,4408000
2000-03-13,3.695000,3.755000,3.695000,3.740000,2.881601,2236000
2000-03-14,3.750000,3.825000,3.650000,3.795000,2.923978,6388000
2000-03-15,3.800000,3.825000,3.800000,3.825000,2.947093,3476000
2000-03-16,3.815000,3.850000,3.700000,3.700000,2.850782,2804000
2000-03-17,3.725000,3.850000,3.690000,3.700000,2.850782,2588000
2000-03-20,3.775000,3.775000,3.700000,3.725000,2.870044,1704000
2000-03-21,3.725000,3.725000,3.725000,3.725000,2.870044,0
2000-03-22,3.750000,3.750000,3.600000,3.625000,2.792996,2184000
