Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.975640,9.093963,8.705187,8.789704,6.463590,8140433
2000-01-04,8.451638,8.485445,8.181186,8.181186,6.016110,24190575
2000-01-05,8.189637,8.282605,8.012153,8.214992,6.040970,36945498
2000-01-06,8.231895,8.291057,7.995250,8.079766,5.941531,13890797
2000-01-07,8.113572,8.164282,8.045959,8.164282,6.003680,43027159
2000-01-10,8.282605,8.367122,8.113572,8.333315,6.127980,18132578
2000-01-11,8.265702,8.350218,8.113572,8.138927,5.985035,22208711
2000-01-12,8.113572,8.164282,8.029056,8.122024,5.972605,10199205
2000-01-13,8.248799,8.341767,8.071314,8.181186,6.016110,14801863
2000-01-14,8.282605,8.341767,8.214992,8.316412,6.115551,10844051
2000-01-17,8.350218,8.451638,8.316412,8.434735,6.202560,11429736
2000-01-18,8.358670,8.384025,8.231895,8.240347,6.059615,12246146
2000-01-19,8.282605,8.282605,7.910733,7.927636,5.829660,27828923
2000-01-20,7.936088,7.936088,7.690991,7.741700,5.692931,18321891
2000-01-21,7.707894,7.775507,7.454345,7.555764,5.556201,15742509
2000-01-24,7.657184,7.775507,7.268409,7.268409,5.344892,21114249
2000-01-25,7.302215,7.521958,7.302215,7.437441,5.469190,16156630
2000-01-26,7.488151,7.614926,7.403635,7.606474,5.593491,16937544
2000-01-27,7.657184,7.690991,7.403635,7.420538,5.456761,16517507
2000-01-28,7.268409,7.352925,7.141634,7.141634,5.251666,15565029
2000-01-31,7.175441,7.183892,7.057118,7.099376,5.220591,24084087
2000-02-01,7.099376,7.369828,7.065569,7.369828,5.419471,16452431
2000-02-02,7.369828,7.412086,7.183892,7.200795,5.295171,21569782
2000-02-03,7.268409,7.538861,7.082473,7.150086,5.257882,60787029
2000-02-04,7.192344,7.268409,7.014859,7.014859,5.158441,30313648
2000-02-07,7.040214,7.657184,6.981053,7.606474,5.593491,22054895
2000-02-08,7.690991,7.809313,7.521958,7.589571,5.581060,37809236
2000-02-09,7.555764,7.606474,7.336022,7.352925,5.407041,23545730
2000-02-10,7.352925,7.471248,7.336022,7.437441,5.469190,25160801
2000-02-11,7.386732,7.420538,7.217699,7.234602,5.320031,12417710
2000-02-14,7.268409,7.344473,7.048666,7.344473,5.400826,9187567
2000-02-15,7.099376,7.352925,7.014859,7.310667,5.375966,18156242
2000-02-16,7.302215,7.403635,7.183892,7.268409,5.344892,53533998
2000-02-17,7.352925,7.352925,7.200795,7.302215,5.369751,12323054
2000-02-18,7.251505,7.268409,6.997956,7.133182,5.245451,28077395
2000-02-21,7.099376,7.099376,7.014859,7.099376,5.220591,3454951
2000-02-22,7.116279,7.158537,7.014859,7.124731,5.239236,20102610
2000-02-23,7.090924,7.327570,7.082473,7.302215,5.369751,15156824
2000-02-24,7.319118,7.403635,7.099376,7.183892,5.282740,15292892
2000-02-25,7.175441,7.175441,6.862730,6.862730,5.046572,20209099
2000-02-28,6.888085,6.964150,6.845827,6.879633,5.059001,7714480
2000-02-29,6.879633,6.930343,6.769762,6.845827,5.034142,10293861
2000-03-01,6.845827,6.854278,6.668342,6.795117,4.996851,16286782
2000-03-02,6.761310,7.276860,6.626084,7.268409,5.344892,28420524
2000-03-03,7.336022,7.716345,7.336022,7.505054,5.518910,24770344
2000-03-06,7.505054,7.521958,7.226150,7.268409,5.344892,20280091
2000-03-07,7.268409,7.860023,7.150086,7.758604,5.705361,40512854
2000-03-08,7.927636,8.367122,7.927636,8.367122,6.152840,28686745
2000-03-09,8.341767,8.603767,8.333315,8.502348,6.252281,19256621
2000-03-10,8.468541,8.502348,8.231895,8.282605,6.090690,10045389
2000-03-13,8.282605,8.282605,8.282605,8.282605,6.090690,0
2000-03-14,8.130476,8.181186,7.995250,8.012153,5.891810,11039279
